"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения товаров при сортировке цены по возрастанию","630","Проверка сортировки товара по цене (по возрастанию)","Surefire suite","Wed Aug 06 17:49:40 GMT 2025","passed","Wed Aug 06 17:49:41 GMT 2025","tests.SorterTest","Surefire test","tests.SorterTest","sortPriceLowToHigh"
"Проверка открытия пользователем карточки товара","398","Проверка входа в систему без пароля, без логина, с неверными логином и паролем","Surefire suite","Wed Aug 06 17:49:51 GMT 2025","passed","Wed Aug 06 17:49:52 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValues"
"Проверка открытия пользователем карточки товара","1780","Проверка открытия карточки товара","Surefire suite","Wed Aug 06 17:49:36 GMT 2025","passed","Wed Aug 06 17:49:38 GMT 2025","tests.OpenItemCardTest","Surefire test","tests.OpenItemCardTest","openItemCardTest"
"Проверка успешной авторизации в системе","439","Проверка успешной авторизации","Surefire suite","Wed Aug 06 17:49:49 GMT 2025","passed","Wed Aug 06 17:49:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка добавленных в заказ товаров и их цен","893","Проверка оформления заказа","Surefire suite","Wed Aug 06 17:49:39 GMT 2025","passed","Wed Aug 06 17:49:40 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkoutTest"
"Проверка открытия пользователем карточки товара","413","Проверка входа в систему без пароля, без логина, с неверными логином и паролем","Surefire suite","Wed Aug 06 17:49:50 GMT 2025","passed","Wed Aug 06 17:49:51 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValues"
"","2","checkLocators","Surefire suite","Wed Aug 06 17:49:27 GMT 2025","unknown","Wed Aug 06 17:49:27 GMT 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка удаления товара из корзины","5623","Проверка удаления товара из корзины","Surefire suite","Wed Aug 06 17:49:41 GMT 2025","passed","Wed Aug 06 17:49:47 GMT 2025","tests.RemoveItemFromCartTest","Surefire test","tests.RemoveItemFromCartTest","removeItemFromCartTest"
"Проверка добавления товара в корзину","623","Проверка добавления товара в корзину","Surefire suite","Wed Aug 06 17:49:38 GMT 2025","passed","Wed Aug 06 17:49:39 GMT 2025","tests.ShoppingCartTest","Surefire test","tests.ShoppingCartTest","checkItemNameAndPrice"
"Проверка успешного оформления заказа","870","Проверка успешного оформления заказа","Surefire suite","Wed Aug 06 17:49:47 GMT 2025","passed","Wed Aug 06 17:49:48 GMT 2025","tests.FinishOrderTest","Surefire test","tests.FinishOrderTest","finishOrderTest"
"Проверка открытия пользователем карточки товара","423","Проверка входа в систему без пароля, без логина, с неверными логином и паролем","Surefire suite","Wed Aug 06 17:49:50 GMT 2025","passed","Wed Aug 06 17:49:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValues"
